Artist,Country,Period active,Release-year of first charted record,Genre,Total certified units (from available markets),Claimed sales
Linkin Park,United States,1996–present,2000,Alternative rock / nu metal / rap rock,"101.8 million US: 72.6 million JPN: 1.550 million GER: 6.2 million UK: 13.085 million FRA: 1.025 million CAN: 1.330 million AUS: 1.485 million BRA: 670,000 ITA: 1.045 million SPA: 200,000 SWE: 165,000 DEN: 530,000 SWI: 435,000 MEX: 225,000 ARG: 108,000 BEL: 140,000 AUT: 260,000 POL: 245,000 FIN: 120,469 NZ: 260,000 POR: 140,000",100 million
George Strait,United States,1981–present,1984,Country,"99.8 million US: 99.150 million CAN: 745,000",100 million
Pink,United States,1995–present,2000,Pop / pop rock / R&B,"89.3 million US: 34.225 million JPN: 400,000 GER: 6.325 million UK: 22.565 million FRA: 1.448 million CAN: 7.210 million AUS: 10.570 million BRA: 1.530 million NLD: 215,000 ITA: 450,000 SWE: 710,000 NOR: 215,000 DEN: 471,500 SWI: 675,000 MEX: 750,000 BEL: 275,000 AUT: 447,500 POL: 220,000 FIN: 130,442 NZ: 532,500",100 million
Britney Spears,United States,1998–present,1998,Pop / dance / dance-pop,"88.7 million US: 46.7 million JPN: 2.1 million GER: 5.350 million UK: 15.550 million FRA: 3.882 million CAN: 3.840 million AUS: 3.2 million BRA: 380,000 NLD: 665,000 ITA: 315,000 SPA: 990,000 SWE: 1.010 million NOR: 220,000 DEN: 555,000 SWI: 485,000 MEX: 1.205 million ARG: 428,000 BEL: 940,000 AUT: 365,000 POL: 210,000 FIN: 143,627 NZ: 240,000",100 million
Guns N' Roses,United States,1985–present,1987,Hard rock / heavy metal,"80.2 million US: 48.5 million JPN: 1.7 million GER: 4.1 million UK: 9.450 million FRA: 1 million CAN: 3.520 million AUS: 3.190 million BRA: 1.9 million NLD: 705,000 ITA: 750,000 SPA: 450,000 SWE: 485,000 NOR: 250,000 DEN: 530,000 SWI: 365,000 MEX: 760,000 ARG: 1.248 million BEL: 165,000 AUT: 365,000 POL: 160,000 IRE: 105,000 FIN: 267,540 NZ: 270,000",100 million
Backstreet Boys,United States,1993–present,1995,Pop,"78 million US: 44.5 million JPN: 5.4 million GER: 7 million UK: 5.075 million FRA: 325,000 CAN: 3.630 million AUS: 2.485 million BRA: 1.625 million NLD: 830,000 SPA: 1.850 million SWE: 655,000 NOR: 140,000 DEN: 465,000 SWI: 415,000 MEX: 1.475 million ARG: 740,000 BEL: 450,000 AUT: 325,000 POL: 300,000 FIN: 171,390 NZ: 132,500",100 million
Neil Diamond,United States,1966–present,1966,Pop / rock,"71.1 million US: 55.9 million GER: 1 million UK: 9.470 million FRA: 400,000 CAN: 1.725 million AUS: 2.190 million NLD: 250,000 SPA: 100,000 NZ: 132,500",100 million
Prince,United States,1976–2016,1978,Funk / R&B / pop / soul / rock,"66.3 million US: 48.950 million JPN: 300,000 GER: 2.4 million UK: 8.245 million FRA: 2.110 million CAN: 1 million AUS: 1.120 million NLD: 670,000 SPA: 700,000 SWE: 100,000 DEN: 140,000 SWI: 300,000 AUT: 150,000 NZ: 182,500",100 million
Journey,United States,1973–present,1975,Rock / soft rock,"65.2 million US: 60.7 million JPN: 300,000 UK: 3 million CAN: 725,000 AUS: 560,000",100 million
Kenny Rogers,United States,1958–2020,1975,Country / pop,"64.7 million US: 55.550 million JPN: 100,000 UK: 3.920 million CAN: 4.740 million AUS: 175,000 SPA: 100,000 NZ: 130,000",100 million
Santana,United States,1966–present,1969,Rock,"62.8 million US: 47.475 million JPN: 400,000 GER: 2.4 million UK: 3.480 million FRA: 3.510 million CAN: 1.660 million AUS: 855,000 BRA: 375,000 NLD: 540,000 SPA: 450,000 SWE: 125,000 SWI: 375,000 MEX: 405,000 ARG: 158,000 BEL: 190,000 AUT: 145,000 POL: 205,000 NZ: 135,000",100 million
